timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1609459200,2021-01-01,5,Nordrhein-Westfalen,19930,7359,0,6610,0,13693
1609459200,2021-01-01,6,Hessen,15674,6226,4677,8681,712,6512
1609459200,2021-01-01,7,Rheinland-Pfalz,4247,1673,0,1941,0,2306
1609459200,2021-01-01,8,Baden-Württemberg,12649,4407,5347,4196,763,1831
1609459200,2021-01-01,9,Bayern,28206,15104,5831,13981,424,10347
1609459200,2021-01-01,10,Saarland,2119,601,1641,161,0,899
1609459200,2021-01-01,11,Berlin,9084,2788,6554,2733,105,6350
1609459200,2021-01-01,12,Brandenburg,3036,1483,204,2812,20,224
1609459200,2021-01-01,13,Mecklenburg-Vorpommern,11101,3640,173,6349,7,4651
1609459200,2021-01-01,14,Sachsen,2653,1166,150,2460,1,192
1609459200,2021-01-01,15,Sachsen-Anhalt,10100,2813,3107,5068,300,4815
1609459200,2021-01-01,16,Thüringen,810,138,232,297,0,413
1609632000,2021-01-03,0,Gesamt,238809,40665,56197,107019,7317,103894
1609632000,2021-01-03,1,Schleswig-Holstein,8933,969,2525,5136,2077,3987
1609632000,2021-01-03,2,Hamburg,3704,662,1439,2010,0,1696
1609632000,2021-01-03,3,Niedersachsen,4962,1017,912,2641,982,2918
1609632000,2021-01-03,4,Bremen,1837,96,824,465,9,265
1609632000,2021-01-03,5,Nordrhein-Westfalen,48691,13142,0,18806,0,29893
1609632000,2021-01-03,6,Hessen,30085,5294,8443,17635,1096,11569
1609632000,2021-01-03,7,Rheinland-Pfalz,7248,59,0,3516,0,3732
1609632000,2021-01-03,8,Baden-Württemberg,24063,4014,11041,7428,1382,4200
1609632000,2021-01-03,9,Bayern,57833,11742,12855,25636,1091,20428
1609632000,2021-01-03,10,Saarland,4149,833,3122,495,0,1580
1609632000,2021-01-03,11,Berlin,14616,1443,9817,3647,105,10968
1609632000,2021-01-03,12,Brandenburg,3219,0,204,2995,20,224
1609632000,2021-01-03,13,Mecklenburg-Vorpommern,11494,0,178,6583,8,4804
1609632000,2021-01-03,14,Sachsen,4343,343,368,3535,1,807
